"ESTU_TIPODOCUMENTO","ESTU_NACIONALIDAD","ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","ESTU_CONSECUTIVO","ESTU_ESTUDIANTE","ESTU_PAIS_RESIDE","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","ESTU_MCPIO_RESIDE","ESTU_COD_RESIDE_MCPIO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_TIENEINTERNET","FAMI_TIENESERVICIOTV","FAMI_TIENECOMPUTADOR","FAMI_TIENELAVADORA","FAMI_TIENEHORNOMICROOGAS","FAMI_TIENEAUTOMOVIL","FAMI_TIENEMOTOCICLETA","FAMI_TIENECONSOLAVIDEOJUEGOS","FAMI_NUMLIBROS","FAMI_COMELECHEDERIVADOS","FAMI_COMECARNEPESCADOHUEVO","FAMI_COMECEREALFRUTOSLEGUMBRE","FAMI_SITUACIONECONOMICA","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","ESTU_TIPOREMUNERACION","COLE_CODIGO_ICFES","COLE_COD_DANE_ESTABLECIMIENTO","COLE_NOMBRE_ESTABLECIMIENTO","COLE_GENERO","COLE_NATURALEZA","COLE_CALENDARIO","COLE_BILINGUE","COLE_CARACTER","COLE_COD_DANE_SEDE","COLE_NOMBRE_SEDE","COLE_SEDE_PRINCIPAL","COLE_AREA_UBICACION","COLE_JORNADA","COLE_COD_MCPIO_UBICACION","COLE_MCPIO_UBICACION","COLE_COD_DEPTO_UBICACION","COLE_DEPTO_UBICACION","ESTU_PRIVADO_LIBERTAD","ESTU_COD_MCPIO_PRESENTACION","ESTU_MCPIO_PRESENTACION","ESTU_DEPTO_PRESENTACION","ESTU_COD_DEPTO_PRESENTACION","PUNT_LECTURA_CRITICA","PERCENTIL_LECTURA_CRITICA","DESEMP_LECTURA_CRITICA","PUNT_MATEMATICAS","PERCENTIL_MATEMATICAS","DESEMP_MATEMATICAS","PUNT_C_NATURALES","PERCENTIL_C_NATURALES","DESEMP_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PERCENTIL_SOCIALES_CIUDADANAS","DESEMP_SOCIALES_CIUDADANAS","PUNT_INGLES","PERCENTIL_INGLES","DESEMP_INGLES","PUNT_GLOBAL","PERCENTIL_GLOBAL","ESTU_ESTADOINVESTIGACION","ESTU_GENERACION-E"
"CC","COLOMBIA","F","01/01/1985","20,201","SB11202010045555","ESTUDIANTE","COLOMBIA","No","CESAR","20","SAN DIEGO","20,750","Estrato 1","5 a 6","Uno","Primaria incompleta","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja por cuenta propia (por ejemplo plomero, electricista)","No","No","No","No","No","No","No","No","0 A 10 LIBROS","1 o 2 veces por semana","1 o 2 veces por semana","Todos o casi todos los días","Mejor","No leo por entretenimiento","No Navega Internet","Más de 30 horas","Si, en efectivo","057372","120750000415","I.E. MANUEL RODRIGUEZ TORICES","MIXTO","OFICIAL","A","S","TÉCNICO/ACADÉMICO","120,750,000,415","I.E. MANUEL RODRIGUEZ TORICES","S","URBANO","NOCHE","20750","SAN DIEGO","20","CESAR","N","20001","VALLEDUPAR","CESAR","20","39","6","2","32","4","1","35","6","1","24","1","1","36","7","A-","164","2","VALIDEZ OFICINA JURÍDICA","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","F","01/01/1995","20,201","SB11202010045719","ESTUDIANTE","COLOMBIA","No","NARIÑO","52","IPIALES","52,356",,,,,,,,,,,,,,,,,,,,,,,,,"177618","352356001951","INSTITUTO DE EDUCACIÓN TECNICA INESUR","MIXTO","NO OFICIAL","A",,,"352,356,001,951","INSTITUTO DE EDUCACIÓN TECNICA INESUR - SEDE PRINCIPAL","S","URBANO","SABATINA","52356","IPIALES","52","NARIÑO","N","52356","IPIALES","NARIÑO","52","41","7","2","41","12","2","39","10","1","44","23","2","30","3","A-","202","10","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","F","01/01/1997","20,201","SB11202010070662","ESTUDIANTE","COLOMBIA","Si","CAUCA","19","TOTORÓ","19,824","Estrato 1","3 a 4","Cuatro","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","No","No","No","No","No","No","No","No","0 A 10 LIBROS","1 o 2 veces por semana",,,"Igual","30 minutos o menos","No Navega Internet","Entre 11 y 20 horas","Si, en efectivo","135301","319001004669","COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO","MIXTO","NO OFICIAL","OTRO",,"ACADÉMICO","319,001,004,669","COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO - SEDE PRINCIPAL","S","URBANO","MAÑANA","19001","POPAYÁN","19","CAUCA","N","19001","POPAYÁN","CAUCA","19","37","4","2","36","7","2","33","4","1","24","1","1","30","3","A-","162","2","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","F","01/01/2001","20,201","SB11202010069926","ESTUDIANTE","COLOMBIA","No","PUTUMAYO","86","MOCOA","86,001","Estrato 1","1 a 2","Uno","Técnica o tecnológica completa","Educación profesional completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Si","No","Si","Si","No","No","Si","No","11 A 25 LIBROS","1 o 2 veces por semana","3 a 5 veces por semana","1 o 2 veces por semana","Igual","30 minutos o menos","Entre 1 y 3 horas","Entre 11 y 20 horas","Si, en efectivo","155739","386001003939","NUEVO INSTITUTO DE APRENDIZAJE SURCOLOMBIANO","MIXTO","NO OFICIAL","A",,"TÉCNICO/ACADÉMICO","386,001,003,939","NUEVO INSTITUTO DE APRENDIZAJE SURCOLOMBIANO - SEDE PRINCIPAL","S","URBANO","SABATINA","86001","MOCOA","86","PUTUMAYO","N","86001","MOCOA","PUTUMAYO","86","38","5","2","42","13","2","38","10","1","33","7","1","37","8","A-","188","6","PUBLICAR","NO"
"CC","COLOMBIA","F","02/01/2001","20,201","SB11202010023181","ESTUDIANTE","COLOMBIA","No","RISARALDA","66","PEREIRA","66,001","Estrato 6","3 a 4","Cuatro","Educación profesional completa","Secundaria (Bachillerato) completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","No","No","26 A 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","3 a 5 veces por semana","Igual","No leo por entretenimiento","Más de 3 horas","0","No","077776","366001003814","COL FUNDACION LIC INGLES","MIXTO","NO OFICIAL","B","S","ACADÉMICO","366,001,003,814","COL FUNDACION LIC INGLES","S","RURAL","COMPLETA","66001","PEREIRA","66","RISARALDA","N","66001","PEREIRA","RISARALDA","66","58","42","3","50","25","2","50","32","2","53","42","2","80","80","B+","274","39","PUBLICAR","NO"
"CC","COLOMBIA","F","02/01/2001","20,201","SB11202010057992","ESTUDIANTE","COLOMBIA","No","ANTIOQUIA","05","MACEO","5,425","Estrato 1","7 a 8","Cuatro","Primaria completa","Primaria incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","Si","No","Si","Si","Si","No","No","No","0 A 10 LIBROS","1 o 2 veces por semana","3 a 5 veces por semana","1 o 2 veces por semana","Peor","Entre 30 y 60 minutos","Más de 3 horas","0","No","662858","305001022461","COL GENTE UNIDA JOVENES POR LA PAZ - LUZ DE ORIENTE","MIXTO","NO OFICIAL","A",,"TÉCNICO/ACADÉMICO","305,001,022,461","COL GENTE UNIDA JOVENES POR LA PAZ - LUZ DE ORIENTE","S","URBANO","SABATINA","05001","MEDELLÍN","05","ANTIOQUIA","N","05001","MEDELLÍN","ANTIOQUIA","05","48","18","2","44","16","2","44","20","2","26","2","1","29","2","A-","198","9","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","F","03/01/2001","20,201","SB11202010074718","ESTUDIANTE","COLOMBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177618","352356001951","INSTITUTO DE EDUCACIÓN TECNICA INESUR","MIXTO","NO OFICIAL","A",,,"352,356,001,951","INSTITUTO DE EDUCACIÓN TECNICA INESUR - SEDE PRINCIPAL","S","URBANO","SABATINA","52356","IPIALES","52","NARIÑO","N","52356","IPIALES","NARIÑO","52","32","2","1","39","10","2","27","1","1","29","3","1","36","7","A-","160","2","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","F","04/01/1982","20,201","SB11202010070513","ESTUDIANTE","COLOMBIA","No","ANTIOQUIA","05","MEDELLÍN","5,001","Estrato 1","3 a 4","Dos","Ninguno","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia",,"No","No","No","No","No","No","No","No","0 A 10 LIBROS","1 o 2 veces por semana","Nunca o rara vez comemos eso","Nunca o rara vez comemos eso","Igual","30 minutos o menos","No Navega Internet","Más de 30 horas","Si, en efectivo","095869","305001022682","POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN","MIXTO","NO OFICIAL","OTRO","N","ACADÉMICO","305,001,022,682","POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN","S","URBANO","MAÑANA","05001","MEDELLÍN","05","ANTIOQUIA","N","05001","MEDELLÍN","ANTIOQUIA","05","45","13","2","36","7","2","44","20","2","41","18","2","39","10","A-","207","11","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","F","04/01/1989","20,201","SB11202010067334","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 5","5 a 6","Tres","Ninguno","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","Si","No","Si","Si","No","No","No","No","26 A 100 LIBROS","3 a 5 veces por semana","1 o 2 veces por semana","Todos o casi todos los días","Peor","Entre 30 y 60 minutos","Entre 30 y 60 minutos","Más de 30 horas","Si, en efectivo","088575","311001047723","COL CENT DE PROMOCION SAN JOSE","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,047,723","COL CENT DE PROMOCION SAN JOSE","S","URBANO","SABATINA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","35","3","1","29","2","1","28","1","1","39","15","1","29","2","A-","162","2","PUBLICAR","NO"
"CC","COLOMBIA","F","04/01/1999","20,201","SB11202010069900","ESTUDIANTE","COLOMBIA","No","META","50","ACACÍAS","50,006","Estrato 2","5 a 6","Tres","Ninguno","Primaria incompleta","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","No","No","No","0 A 10 LIBROS","1 o 2 veces por semana","3 a 5 veces por semana","Todos o casi todos los días","Igual","30 minutos o menos","Más de 3 horas","Entre 21 y 30 horas","Si, en efectivo","127944","350001006933","GIMNASIO INTERACTIVO KAIZEN","MIXTO","NO OFICIAL","A",,"ACADÉMICO","350,001,006,933","GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL","S","URBANO","SABATINA","50001","VILLAVICENCIO","50","META","N","50001","VILLAVICENCIO","META","50","53","29","3","32","4","1","42","15","2","45","25","2","33","5","A-","211","13","PUBLICAR","NO"
"CC","COLOMBIA","F","04/01/2001","20,201","SB11202010073927","ESTUDIANTE","COLOMBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110742","311001106690","COLEGIO INSCAP","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,106,690","COL INST INSCAP - SEDE PRINCIPAL","S","URBANO","MAÑANA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","61","52","3","53","32","3","57","49","3","66","75","3","55","31","A1","295","50","PUBLICAR","NO"
